Researcher	First Name	Surname	Title	Name	Department	Europe	North America	Latin Am. & Carribean	S SE & E Asia	Central & Western Asia	Northern Africa	Subsaharan Africa	Oceania	Artic	Critique of knowledge production	Managing Metabolic processes	Empowerment and inequality	Imagining the future	Understanding the past	Biodiversity	Air	Built Environment	Energy	Representations	Transport	Waste	Water	Food	Abiotic resources	Environment / climate	Human Wellbeing (IRIS)	Materials (IRIS)	Global Health (IRIS)	Intercultural Interaction (IRIS)	"Energy, Envir. & Transport (IRIS)"	Public Policy & Governance (IRIS)	Sustainable Cities (IRIS)	Risk & Security (IRIS)	Systems Engineering (IRIS)
JSAJU70	SAJURIA GARCES	JAVIER EMILIO	0	Michael Whitbread	Political Science											1	1							1															
JSTEG94	Julia	Stegemann	Dr	Maria Lee	"Civil, Environmental and Geomatic Engineering"	1	1									1		1					1			1													
JSTOC27	0	0	0	Megan McMichael	0											1						1			1														
JTANG13	Junwang	Tang	Dr	MD. MUSLEH UDDIN Hassan	Chemical Engineering											1		1			1		1			1	1					1			1				
JWGAR15	Jonathon	Gardner 	0	Melissa  Neuman	Institute of Archaeology	1									1				1			1		1		1													
JWILL27	Joanna	Williams	Dr	Mark  Ford	School of Planning	1										1						1	1																
JWSON04	Jung	Won Sonn	Dr	Matthew Ashby	School of Planning		1		1							1	1					1														1	1		
KALSA78	Kinda	Al-Sayed	Mrs	Peg Rawes	The Bartlett School of Graduate Studies											1		1				1													1		1	1	1
KCURR06	Katherine	0	Dr	Mike Raco	The Bartlett School of Graduate Studies														1			1							1										
KDUGM09	Keith	Dugmore	Prof	Michael Emes	Centre for Advanced Spatial Analysis											1								1											1	1	1		
KFOUS42	Kalliopi	Fouseki	Dr	Matthew Ingleby	The Bartlett School of Graduate Studies	1											1		1			1															1		
KHOLT76	Katherine	Holt	Dr	Michael Pitt	Chemistry													1					1																
KJAMI01	Kyle	Jamieson	Dr	Michael Stewart	Computer Science											1								1															1
KKARI67	Kayvan	Karimi	0	Mai Stafford	The Bartlett School of Graduate Studies	1				1						1						1			1														
KLREV48	Kirsty	Revell	0	Michail Stamatakis	"Civil, Environmental and Geomatic Engineering"	1										1							1		1	1	1												
KMHOM90	Katherine	Homewood	Prof	Michael Manlangit	Anthropology							1				1				1								1		1			1						
KOSUE88	William	Suen	Dr	Marcella Ucci	Mechanical Engineering	1												1				1	1																
KPMAN87	Kevin	Mansfield	Prof	Martine Spinks	The Bartlett School of Graduate Studies																	1	1																
KWOOD71	Karl	Woodbridge	Dr	Matthew Winning	Electronic & Electrical Eng													1						1											1		1	1	
Kxxxxxx	Ka- Man 	Lai	Dr	Matthew Wood-Hill	"Civil, Environmental and Geomatic Engineering"											1				1	1		1																
LCAPR65	Licia	Capra	Dr	Mehrdad Zangeneh	Computer Science	1										1	1	1						1											1		1		1
LCCAM91	Luiza	Campos	Dr	Nicholas Phelps	"Civil, Environmental and Geomatic Engineering"	1			1							1		1								1	1						1		1		1	1	
LCIRI23	Lena	Ciric	Dr	Nick Tyler	"Civil, Environmental and Geomatic Engineering"											1	1									1	1				1		1		1		1		
LGRIF14	Liza	Griffin	Dr	Nicola Christie	Development Planning Unit	1									1	1	1					1					1	1								1	1	1	
LMALK36	Liora	Malki-Epshtein	Dr	Neil Strachan	"Civil, Environmental and Geomatic Engineering"	1	1		1									1				1	1		1		1	1			1				1		1		
LMARJ86	Ljiljana	Marjanovic- Halburd	Dr	Nichola Smalley	The Bartlett School of Graduate Studies				1							1		1				1	1												1				
LMAZZ90	Luca	Mazzei	Dr	Nik Kaltsoyannis	Chemical Engineering													1					1									1							
LPNAR06	NARVAEZ ZERTUCHE	LAURA PATRICIA	0	Nikolaos Karadimitriou	The Bartlett School of Graduate Studies	1	1									1			1			1																	
LSVAU60	Laura	Vaughan	Prof	Naomi Luxford	The Bartlett School of Graduate Studies	1	1									1	1					1									1				1		1	1	
LUXXX28	Tingting	Lu 	0	Nick Gallent	School of Planning											1	1					1																	
MACUT20	Michele	Acuto	Dr	Niloy Mitra	STEaPP	1							1		1	1	1					1											1			1	1		
MALTA62	Mark	Altaweel	Dr	Nick Shepley	Institute of Archaeology		1		1	1	1			1	1				1			1					1			1				1			1	1	
