URL,Researcher,Name,Title,Department,Europe,North America,Latin Am. & Carribean,S SE & E Asia,Central & Western Asia,Northern Africa,Subsaharan Africa,Oceania,Artic,Critique of knowledge production,Managing Metabolic processes,Empowerment and inequality,Imagining the future,Understanding the past,Biodiversity,Air,Built Environment,Energy,Representations,Transport,Waste,Water,Food,Abiotic resources,Environment / climate,Human Wellbeing (IRIS),Materials (IRIS),Global Health (IRIS),Intercultural Interaction (IRIS),"Energy, Envir. & Transport (IRIS)",Public Policy & Governance (IRIS),Sustainable Cities (IRIS),Risk & Security (IRIS),Systems Engineering (IRIS)
http://iris.ucl.ac.uk/iris/browse/profile?upi=BPAGE79,BPAGE79,Ben Page,Dr,Geography,1,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BPCLI35,BPCLI35,Ben Clifford,Dr,School of Planning,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BSCOL20,BSCOL20,Brian Collins,,STEaPP,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BSOLA39,BSOLA39,Baltazar Solano Rodriguez,Mr,UCL Energy Institute,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CACRA07,CACRA07,Kate Crawford,Dr,"Civil, Environmental and Geomatic Engineering",,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CAELW60,CAELW60,Cliff Elwell,Dr,UCL Energy Institute,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CARME79,CARME79,Chiara Armeni,Ms,Faculty of Laws,1,,,,,,,,,,,1,,,,,,1,,,,1,,,1,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CARYA67,CARYA67,Chanakya Arya,Dr,"Civil, Environmental and Geomatic Engineering",1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CAVAR71,CAVAR71,Camilo Vargas-Ruiz,Mr,Centre for Advanced Spatial Analysis,,,1,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CBLAC43,CBLAC43,Chris Blackman,Dr,Chemistry,,,,,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CBOAN83,CBOAN83,Camillo Boano,Dr,Development Planning Unit,1,,1,1,1,,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CDELL82,CDELL82,Claire Ellul,Dr,"Civil, Environmental and Geomatic Engineering",,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CDUNN17,CDUNN17,Charlie Dunnill,Dr,Chemistry,,,,,,,,,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CHOWE78,CHOWE78,Caroline Howe,Dr,"Genetics, Evolution & Environment",,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CJGAR26,CJGAR26,Caroline Garaway,Dr,Anthropology,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CJLIM41,CJLIM41,CJ Lim,Prof,School of Architecture,1,,,1,,,,,,,,,,,,,1,1,,,,1,1,,,1,,,1,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CJOHN80,CJOHN80,Charlotte Johnson,Ms,UCL Energy Institute,1,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,1,,1,1,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CJOHN96,CJOHN96,Cassidy Johnson,Dr,Development Planning Unit,1,1,,,1,,,,,,1,1,1,,,,1,1,,,,,,,,,,1,,,1,1,1,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CJRED25,CJRED25,Catherine Redgwell,Prof,Faculty of Laws,1,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CLDWY97,CLDWY97,Claire Dwyer,Dr,Geography,1,1,,,,,,,,1,1,1,,,,,1,,1,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CLEVY74,CLEVY74,Caren Levy,Ms,Development Planning Unit,1,,1,1,,1,1,,,1,1,1,1,1,,,1,,,,,,,,,,,,,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CMARX96,CMARX96,Colin Marx,Dr,Development Planning Unit,,,,,,1,1,,,1,1,1,,,,,1,,,,,,,,,,,,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CMASO14,CMASO14,Christos Masouros,Dr,Electronic & Electrical Eng,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CMCAN46,CMCAN46,Claire McAndrew,Dr,The Bartlett School of Graduate Studies,,,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CMCOL44,CMCOL44,Claire Colomb,Dr,School of Planning,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CMDIL73,CMDIL73,Catherine Dillon,Dr,The Bartlett School of Graduate Studies,,,,,,,,,,,1,1,,1,,,1,,1,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CPRAM80,CPRAM80,Claudia Ramirez Brinez,Ms,"Civil, Environmental and Geomatic Engineering",,,1,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CSBFI72,CSBFI72,Caroline Fitzpatrick,Prof,"Civil, Environmental and Geomatic Engineering",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,,1
http://iris.ucl.ac.uk/iris/browse/profile?upi=CSDEM13,CSDEM13,Claudio De Magalhaes,Dr,School of Planning,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CSHOL54,CSHOL54,Catherine Holloway,Dr,"Civil, Environmental and Geomatic Engineering",1,,,,,,,,,,1,1,,,,,1,,,1,,,,,,1,,,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CSHRU11,CSHRU11,Clive Shrubsole,Mr,The Bartlett School of Graduate Studies,1,,,,,,,,,,1,,1,,,,,1,,,1,,,,,1,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CSPAT02,CSPAT02,Catalina Spataru,Dr,UCL Energy Institute,1,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,1,1
http://www.geog.ucl.ac.uk/about-the-department/people/academics/charlotte-lemanski,CSPIN26,Charlotte Lemanski,Dr,Geography,,,,1,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,1,1,1,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CSTYA03,CSTYA03,Craig Styan,Dr,UCL Australia,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CTHOM22,CTHOM22,Claire Thomson,Dr,"School of European Languages, Culture and Society",1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=CTURC04,CTURC04,Catalina Turcu,Dr,School of Planning,1,,,1,,,,,,,,1,,,,,1,1,,,,,,,,,,,,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DAJEE50,DAJEE50,Diman Ajeeb,0,School of Planning,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DASMI57,DASMI57,Duncan  Smith,Dr,Centre for Advanced Spatial Analysis,1,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DAVVI73,DAVVI73,Deborah Villarroel-Lamb,Dr,"Civil, Environmental and Geomatic Engineering",,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DBRET49,DBRET49,Dan Brett,Dr,Chemical Engineering,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DDAYA16,DDAYA16,Dina D'Ayala,Dr,"Civil, Environmental and Geomatic Engineering",1,,,1,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DJBAL01,DJBAL01,David Joseph Balding,Prof,UCL Genetics Institute,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DJMUR72,DJMUR72,David  Murrel,Dr,"Genetics, Evolution & Environment",,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=DMUMO03,DMUMO03,Dejan Mumovic,Dr,School of Architecture,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,1,,,,1,,1,,
